h,coef,se,t,pvalor,ci_low,ci_high,nobs,arquivo,h_ref
24.0,-0.0229946994284784,0.0844994345684641,-0.2721284414021421,0.7855232613894895,-0.161996269293602,0.1160068704366451,245.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_pontual_gasolina_refinaria_para_ipca_transporte.csv,24
3.0,0.105980593455511,0.0790467490255412,1.340733107458562,0.1800071213337225,-0.0240513086915043,0.2360124956025264,266.0,output_petroleo_lp_modelo3\C_petroleo_para_inflacao_com_sem_canal\lp_acumulada_Petroleo_para_ipca_geral_controle_diesel.csv,3
6.0,0.0666486287842913,0.1086746718162862,0.6132857607976991,0.5396874068758328,-0.1121212063534994,0.2454184639220822,263.0,output_petroleo_lp_modelo3\C_petroleo_para_inflacao_com_sem_canal\lp_acumulada_Petroleo_para_ipca_geral_controle_diesel.csv,6
12.0,0.0830126826993072,0.1721017793829577,0.4823464521804211,0.6295598536582445,-0.2000947443856582,0.3661201097842727,257.0,output_petroleo_lp_modelo3\C_petroleo_para_inflacao_com_sem_canal\lp_acumulada_Petroleo_para_ipca_geral_controle_diesel.csv,12
24.0,-0.1813267686144161,0.2081340878893635,-0.8712016875909476,0.3836440386461018,-0.5237073431924191,0.1610538059635868,245.0,output_petroleo_lp_modelo3\C_petroleo_para_inflacao_com_sem_canal\lp_acumulada_Petroleo_para_ipca_geral_controle_diesel.csv,24
3.0,0.1282346049487177,0.0733827095774931,1.747477105806516,0.0805546127943089,0.0075200476937415,0.2489491622036939,266.0,output_petroleo_lp_modelo3\C_petroleo_para_inflacao_com_sem_canal\lp_acumulada_Petroleo_para_ipca_geral_controle_etanol.csv,3
6.0,0.0905724733138564,0.0960672783052862,0.9428025328877514,0.3457819159308438,-0.0674581994983394,0.2486031461260524,263.0,output_petroleo_lp_modelo3\C_petroleo_para_inflacao_com_sem_canal\lp_acumulada_Petroleo_para_ipca_geral_controle_etanol.csv,6
12.0,0.0900492600635167,0.1531288904486802,0.5880618595202055,0.556490772441268,-0.1618477647245623,0.3419462848515958,257.0,output_petroleo_lp_modelo3\C_petroleo_para_inflacao_com_sem_canal\lp_acumulada_Petroleo_para_ipca_geral_controle_etanol.csv,12
24.0,-0.2051696360854936,0.1907011648751546,-1.0758698627761978,0.2819854619166204,-0.518873052305123,0.1085337801341356,245.0,output_petroleo_lp_modelo3\C_petroleo_para_inflacao_com_sem_canal\lp_acumulada_Petroleo_para_ipca_geral_controle_etanol.csv,24
3.0,0.0614979777271274,0.080908829096295,0.7600898247326576,0.4472008944400337,-0.0715970461362779,0.1945930015905328,266.0,output_petroleo_lp_modelo3\C_petroleo_para_inflacao_com_sem_canal\lp_acumulada_Petroleo_para_ipca_geral_controle_gasolina.csv,3
6.0,0.0134887756839198,0.1090759992557307,0.1236640120279358,0.9015813071218624,-0.1659412430917572,0.1929187944595969,263.0,output_petroleo_lp_modelo3\C_petroleo_para_inflacao_com_sem_canal\lp_acumulada_Petroleo_para_ipca_geral_controle_gasolina.csv,6
12.0,-0.0081133390869921,0.1747398296776383,-0.0464309659793062,0.9629667558379768,-0.2955603589067073,0.2793336807327229,257.0,output_petroleo_lp_modelo3\C_petroleo_para_inflacao_com_sem_canal\lp_acumulada_Petroleo_para_ipca_geral_controle_gasolina.csv,12
24.0,-0.2742371684261084,0.1992986434228521,-1.3760112147088686,0.1688181612386126,-0.6020834368567003,0.0536091000044833,245.0,output_petroleo_lp_modelo3\C_petroleo_para_inflacao_com_sem_canal\lp_acumulada_Petroleo_para_ipca_geral_controle_gasolina.csv,24
3.0,0.0780499597668965,0.0775998607602357,1.0058002553387502,0.3145116644557836,-0.0496018111836912,0.2057017307174842,266.0,output_petroleo_lp_modelo3\C_petroleo_para_inflacao_com_sem_canal\lp_acumulada_Petroleo_para_ipca_geral_controle_gasolina_refinaria.csv,3
6.0,0.0483198259270281,0.1111075160270669,0.4348925046191917,0.6636404554120199,-0.134452037937497,0.2310916897915532,263.0,output_petroleo_lp_modelo3\C_petroleo_para_inflacao_com_sem_canal\lp_acumulada_Petroleo_para_ipca_geral_controle_gasolina_refinaria.csv,6
12.0,0.0405419137124623,0.1901074257432245,0.2132579174851475,0.8311257954877501,-0.2721848016351419,0.3532686290600667,257.0,output_petroleo_lp_modelo3\C_petroleo_para_inflacao_com_sem_canal\lp_acumulada_Petroleo_para_ipca_geral_controle_gasolina_refinaria.csv,12
